,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
31184,West Indies,Bangladesh,Mirpur,79,45,8,6.32,25.0,132
28866,Pakistan,South Africa,Abu Dhabi,96,19,2,5.702970297029703,13.0,119
30208,South Africa,New Zealand,Auckland,125,40,6,9.375,59.0,165
8641,Pakistan,Australia,Dubai,72,62,10,7.448275862068965,31.0,150
48889,Afghanistan,West Indies,Nagpur,53,54,6,4.818181818181818,20.0,123
19013,Australia,England,Manchester,69,52,7,6.088235294117647,22.0,145
44773,India,Australia,Adelaide,110,41,8,8.354430379746836,38.0,188
19477,Australia,South Africa,Melbourne,119,47,8,9.780821917808218,42.0,182
33151,West Indies,New Zealand,Pallekele,82,63,7,8.631578947368421,40.0,139
1813,New Zealand,Australia,Sydney,61,44,5,4.815789473684211,23.0,117
4032,Pakistan,New Zealand,Auckland,58,82,10,9.157894736842104,48.0,201
36462,Australia,Sri Lanka,Sydney,122,13,7,6.841121495327103,43.0,137
49122,New Zealand,England,Delhi,78,66,9,8.666666666666666,46.0,153
50323,Australia,Sri Lanka,Pallekele,129,50,9,11.057142857142857,53.0,263
34200,Pakistan,Bangladesh,Mirpur,68,58,8,6.580645161290323,23.0,135
12491,Sri Lanka,Pakistan,Lahore,88,59,9,8.655737704918034,34.0,165
41766,Bangladesh,Sri Lanka,Chittagong,72,41,4,5.468354430379747,18.0,120
300,New Zealand,Bangladesh,Mount Maunganui,71,71,7,8.693877551020408,36.0,195
29451,Sri Lanka,Australia,Pallekele,76,60,8,7.6,34.0,198
36026,Australia,Pakistan,Dubai,31,85,8,5.314285714285714,23.0,89
14379,Sri Lanka,England,Southampton,110,43,5,8.571428571428571,35.0,163
13886,South Africa,England,Cape Town,113,36,7,8.071428571428571,35.0,179
35085,India,England,Mumbai,90,51,6,7.826086956521739,26.0,177
11747,England,Australia,Southampton,55,84,9,9.166666666666666,47.0,162
30718,Sri Lanka,Pakistan,Abu Dhabi,125,23,6,7.731958762886598,29.0,141
32949,South Africa,Australia,Colombo,110,15,5,6.285714285714286,33.0,146
15278,West Indies,England,London,205,5,3,10.695652173913043,58.0,208
12421,Pakistan,England,Manchester,182,5,6,9.495652173913044,50.0,190
24203,Australia,Pakistan,St Lucia,191,5,4,9.965217391304348,62.0,191
48873,Afghanistan,West Indies,Nagpur,42,70,8,5.04,23.0,123
170,Australia,Sri Lanka,Adelaide,68,77,10,9.488372093023257,48.0,187
26988,Pakistan,New Zealand,Dubai,79,54,8,7.181818181818182,30.0,153
27633,Australia,England,Adelaide,112,33,8,7.724137931034483,27.0,157
29600,Sri Lanka,Australia,Pallekele,121,35,6,8.541176470588235,41.0,157
19492,Australia,South Africa,Melbourne,144,32,6,9.818181818181818,46.0,182
17118,New Zealand,South Africa,Durban,115,30,6,7.666666666666667,39.0,153
19754,England,West Indies,Trinidad,117,16,3,6.75,24.0,121
23826,Afghanistan,India,St Lucia,98,14,4,5.547169811320755,35.0,115
17125,New Zealand,South Africa,Durban,130,24,6,8.125,49.0,153
23586,West Indies,Australia,Sydney,103,17,3,6.0,25.0,138
21695,Pakistan,South Africa,Nottingham,87,53,8,7.791044776119403,39.0,149
47703,Sri Lanka,West Indies,Bangalore,115,10,4,6.2727272727272725,42.0,122
13727,Pakistan,New Zealand,Hamilton,55,74,7,7.173913043478261,34.0,163
18289,Australia,India,Mumbai,50,87,9,9.090909090909092,38.0,166
19044,Australia,England,Manchester,112,22,7,6.857142857142857,42.0,145
43027,South Africa,Australia,Melbourne,52,57,7,4.9523809523809526,22.0,101
5064,India,South Africa,Johannesburg,150,35,7,10.588235294117647,43.0,203
25304,West Indies,India,Barbados,131,23,8,8.103092783505154,57.0,169
11157,India,New Zealand,Hamilton,98,51,7,8.521739130434783,27.0,179
38041,Pakistan,South Africa,Dubai,51,47,5,4.191780821917808,26.0,98
21697,Pakistan,South Africa,Nottingham,90,51,8,7.826086956521739,42.0,149
10689,New Zealand,England,Wellington,52,85,9,8.914285714285715,49.0,176
29318,Australia,South Africa,Johannesburg,49,68,8,5.653846153846154,33.0,147
37505,West Indies,England,Barbados,90,48,8,7.5,27.0,170
3616,Sri Lanka,India,Colombo,66,73,7,8.425531914893616,35.0,170
31568,England,Afghanistan,Colombo,107,34,8,7.465116279069767,36.0,196
2350,England,New Zealand,Hamilton,154,17,6,8.970873786407767,37.0,194
26834,Pakistan,New Zealand,Dubai,39,83,9,6.324324324324325,39.0,161
44924,India,Australia,Melbourne,161,14,8,9.11320754716981,54.0,184
32419,South Africa,Pakistan,Colombo,53,53,7,4.746268656716418,25.0,133
46808,New Zealand,India,Nagpur,67,47,6,5.506849315068493,28.0,126
18939,Australia,West Indies,Barbados,94,56,7,8.8125,37.0,97
36856,India,Pakistan,Bangalore,51,75,10,6.8,40.0,133
47662,Sri Lanka,West Indies,Bangalore,65,47,5,5.342465753424658,22.0,122
48430,South Africa,West Indies,Nagpur,106,20,4,6.36,34.0,122
6641,South Africa,Pakistan,Johannesburg,62,59,9,6.098360655737705,25.0,188
37133,South Africa,Sri Lanka,Colombo,54,50,6,4.628571428571429,28.0,115
13287,Australia,India,Sydney,161,15,8,9.2,49.0,186
34014,West Indies,England,Nottingham,56,62,7,5.793103448275862,32.0,172
26137,Pakistan,Australia,St Lucia,86,59,9,8.459016393442623,51.0,191
44643,South Africa,Australia,Cape Town,104,46,8,8.432432432432432,30.0,178
15100,South Africa,India,Johannesburg,60,56,6,5.625,29.0,126
1897,England,Australia,Melbourne,41,85,7,7.0285714285714285,29.0,137
10318,India,Bangladesh,Nagpur,36,87,8,6.545454545454546,34.0,174
29816,Australia,India,Melbourne,59,66,6,6.555555555555555,31.0,131
10682,New Zealand,England,Wellington,41,92,9,8.785714285714286,41.0,176
45891,Pakistan,New Zealand,Auckland,105,34,7,7.325581395348837,36.0,171
18783,England,New Zealand,Christchurch,61,87,10,11.090909090909092,60.0,193
30582,West Indies,England,London,64,31,6,4.314606741573034,20.0,113
33758,West Indies,Australia,Colombo,59,72,8,7.375,42.0,205
12986,Bangladesh,Pakistan,Lahore,57,61,7,5.796610169491525,30.0,136
47893,New Zealand,Pakistan,Chandigarh,77,65,8,8.4,42.0,180
20310,South Africa,New Zealand,London,47,81,10,7.230769230769231,38.0,128
30955,England,Pakistan,Dubai,118,28,5,7.695652173913044,31.0,150
800,England,South Africa,Cardiff,84,61,9,8.542372881355933,44.0,181
33560,India,South Africa,Colombo,116,23,5,7.175257731958763,43.0,152
11901,Australia,England,Southampton,74,51,7,6.434782608695652,34.0,157
29874,Australia,India,Melbourne,121,10,3,6.6,28.0,131
20449,Sri Lanka,West Indies,Nottingham,85,66,10,9.444444444444445,44.0,192
26765,Pakistan,England,Cardiff,87,31,7,5.865168539325842,27.0,126
13170,Australia,India,Sydney,177,6,5,9.31578947368421,49.0,194
38379,New Zealand,West Indies,Auckland,51,85,9,8.742857142857142,46.0,189
1025,India,England,Bangalore,53,84,9,8.833333333333334,47.0,202
44120,Pakistan,Sri Lanka,Colombo,53,74,8,6.913043478260869,40.0,175
20559,England,South Africa,Nottingham,28,78,7,4.0,23.0,111
42649,England,Australia,Cardiff,60,62,8,6.206896551724138,41.0,182
25497,Pakistan,South Africa,St Lucia,25,76,7,3.409090909090909,16.0,148
29746,Australia,India,Sydney,155,14,7,8.773584905660377,55.0,171
2820,Bangladesh,Sri Lanka,Colombo,95,40,5,7.125,25.0,155
8044,New Zealand,India,Auckland,114,35,6,8.047058823529412,57.0,158
37746,England,West Indies,Barbados,102,50,9,8.742857142857142,29.0,165
37054,Sri Lanka,Bangladesh,Pallekele,183,7,5,9.716814159292035,66.0,198
3159,West Indies,Pakistan,Trinidad,52,72,9,6.5,25.0,124
25648,New Zealand,England,St Lucia,77,48,7,6.416666666666667,33.0,149
12661,Sri Lanka,Pakistan,Lahore,156,11,4,8.587155963302752,41.0,182
34214,Pakistan,Bangladesh,Mirpur,88,44,7,6.947368421052632,29.0,135
17526,Bangladesh,Pakistan,Cape Town,139,6,1,7.315789473684211,25.0,140
8494,Pakistan,Australia,Dubai,45,84,9,7.5,39.0,147
31223,West Indies,Bangladesh,Mirpur,122,7,4,6.477876106194691,33.0,132
1070,India,England,Bangalore,120,39,7,8.88888888888889,51.0,202
27630,Australia,England,Adelaide,105,36,8,7.5,21.0,157
32154,New Zealand,Sri Lanka,Pallekele,58,73,9,7.404255319148936,42.0,174
31270,India,Afghanistan,Colombo,36,82,8,5.684210526315789,27.0,159
27945,New Zealand,Sri Lanka,Lauderhill,16,87,5,2.909090909090909,14.0,81
34557,South Africa,India,Johannesburg,74,72,9,9.25,45.0,219
6570,South Africa,Pakistan,Cape Town,182,8,5,9.75,45.0,192
22610,Sri Lanka,India,Colombo,169,5,6,8.817391304347826,49.0,171
48667,England,Sri Lanka,Delhi,115,24,7,7.1875,42.0,171
47943,New Zealand,Pakistan,Chandigarh,148,16,6,8.538461538461538,43.0,180
6496,South Africa,Pakistan,Cape Town,57,81,9,8.76923076923077,43.0,192
34705,West Indies,New Zealand,Lauderhill,85,50,9,7.285714285714286,39.0,209
4661,Sri Lanka,Pakistan,Abu Dhabi,46,76,8,6.2727272727272725,24.0,102
21069,New Zealand,Pakistan,London,50,70,7,6.0,23.0,99
47161,Afghanistan,Sri Lanka,Kolkata,45,70,8,5.4,25.0,153
31310,India,Afghanistan,Colombo,85,45,7,6.8,34.0,159
49653,Pakistan,India,Mirpur,70,29,2,4.615384615384615,22.0,83
46711,South Africa,Sri Lanka,Cape Town,124,24,7,7.75,35.0,169
26026,Sri Lanka,England,St Lucia,75,38,6,5.487804878048781,29.0,128
48416,South Africa,West Indies,Nagpur,88,34,5,6.1395348837209305,37.0,122
41099,South Africa,India,Mirpur,43,90,9,8.6,41.0,172
28380,Pakistan,New Zealand,Auckland,119,9,1,6.4324324324324325,29.0,143
10451,India,West Indies,Mumbai,85,75,10,11.333333333333334,60.0,240
15082,South Africa,India,Johannesburg,41,74,7,5.3478260869565215,22.0,126
20728,Sri Lanka,Pakistan,London,101,43,8,7.87012987012987,22.0,150
49539,India,Bangladesh,Mirpur,129,19,6,7.663366336633663,54.0,166
45608,New Zealand,Sri Lanka,Mount Maunganui,78,71,10,9.551020408163266,36.0,182
14027,South Africa,England,Cape Town,137,21,7,8.303030303030303,64.0,191
28103,Pakistan,South Africa,Abu Dhabi,70,39,5,5.185185185185185,27.0,120
4800,Sri Lanka,Pakistan,Abu Dhabi,71,50,9,6.085714285714285,27.0,124
28357,Pakistan,New Zealand,Auckland,95,32,3,6.4772727272727275,25.0,143
19830,Australia,West Indies,London,63,60,7,6.3,35.0,169
22338,New Zealand,West Indies,Hamilton,156,29,6,10.285714285714286,36.0,191
35578,Pakistan,South Africa,Centurion,132,44,8,10.421052631578947,62.0,195
4601,India,New Zealand,Delhi,165,16,8,9.51923076923077,55.0,202
47885,New Zealand,Pakistan,Chandigarh,68,73,9,8.680851063829786,41.0,180
7622,Bangladesh,West Indies,Lauderhill,37,82,8,5.842105263157895,30.0,171
40052,Australia,West Indies,Mirpur,154,11,4,8.477064220183486,42.0,178
38322,Sri Lanka,Pakistan,Dubai,169,21,8,10.242424242424242,60.0,211
46457,South Africa,Sri Lanka,Centurion,54,92,8,11.571428571428571,54.0,126
47407,Pakistan,India,Kolkata,40,70,9,4.8,26.0,118
41658,Sri Lanka,Bangladesh,Chittagong,126,27,4,8.129032258064516,33.0,168
10827,New Zealand,England,Auckland,119,67,8,13.471698113207546,51.0,146
21838,Sri Lanka,West Indies,London,96,32,7,6.545454545454546,24.0,158
36535,Sri Lanka,Australia,Melbourne,55,65,7,6.0,27.0,161
20178,Australia,Sri Lanka,Nottingham,47,89,9,9.096774193548388,46.0,159
16082,Bangladesh,South Africa,Cape Town,79,69,5,9.294117647058824,30.0,144
11320,India,New Zealand,Wellington,140,16,3,8.076923076923077,49.0,165
7370,Australia,India,Sydney,50,81,10,7.6923076923076925,34.0,164
39149,Pakistan,India,Mirpur,89,35,7,6.2823529411764705,40.0,130
40556,India,Australia,Mirpur,143,13,6,8.018691588785046,54.0,159
45833,Pakistan,New Zealand,Auckland,33,92,9,7.071428571428571,33.0,171
22556,Sri Lanka,India,Colombo,85,55,9,7.846153846153846,26.0,171
8004,New Zealand,India,Auckland,51,72,6,6.375,34.0,158
13049,Bangladesh,Pakistan,Lahore,131,2,4,6.661016949152542,43.0,136
13371,West Indies,New Zealand,Auckland,96,59,5,9.442622950819672,37.0,180
5710,Bangladesh,India,Colombo,117,21,5,7.090909090909091,39.0,139
6339,Bangladesh,India,Colombo,136,15,4,7.771428571428571,52.0,166
15660,West Indies,Bangladesh,Johannesburg,164,0,2,8.2,62.0,164
3740,New Zealand,West Indies,Mount Maunganui,92,75,7,12.266666666666667,61.0,102
16569,Pakistan,Sri Lanka,Johannesburg,33,83,7,5.351351351351352,25.0,189
49107,New Zealand,England,Delhi,53,80,9,7.95,37.0,153
45363,Sri Lanka,England,Southampton,67,72,8,8.375,49.0,140
43084,South Africa,Australia,Melbourne,101,0,3,5.05,30.0,101
24060,India,South Africa,St Lucia,120,25,7,7.578947368421052,40.0,186
19831,Australia,West Indies,London,65,59,7,6.39344262295082,33.0,169
7916,Pakistan,England,Cardiff,117,37,8,8.457831325301205,50.0,173
5646,Bangladesh,India,Colombo,51,77,8,7.116279069767442,34.0,139
34805,West Indies,New Zealand,Lauderhill,44,79,9,6.439024390243903,22.0,177
48739,Australia,India,Chandigarh,64,78,9,9.142857142857142,39.0,160
23836,Afghanistan,India,St Lucia,110,4,3,5.689655172413793,30.0,115
33993,West Indies,England,Nottingham,30,83,8,4.864864864864865,25.0,172
35787,New Zealand,England,Hamilton,59,81,10,9.076923076923077,48.0,192
38987,Afghanistan,Bangladesh,Mirpur,32,90,9,6.4,31.0,72
20882,India,West Indies,London,130,14,6,7.3584905660377355,58.0,153
13001,Bangladesh,Pakistan,Lahore,75,46,7,6.081081081081081,35.0,136
41883,South Africa,West Indies,Cape Town,93,47,7,7.6438356164383565,49.0,165
41717,Bangladesh,Sri Lanka,Chittagong,40,89,7,7.741935483870968,39.0,120
14399,Sri Lanka,England,Southampton,137,24,3,8.5625,41.0,163
16474,South Africa,England,Cape Town,76,55,7,7.015384615384615,33.0,154
16693,New Zealand,England,Durban,31,85,6,5.314285714285714,24.0,164
30567,West Indies,England,London,55,46,7,4.45945945945946,25.0,113
2095,New Zealand,England,Wellington,167,15,7,9.542857142857143,54.0,196
46838,New Zealand,India,Nagpur,94,21,5,5.696969696969697,27.0,126
31065,England,Pakistan,Abu Dhabi,77,38,6,5.634146341463414,23.0,129
22823,South Africa,England,Centurion,170,41,9,12.91139240506329,63.0,241
47531,South Africa,Afghanistan,Mumbai,94,55,8,8.676923076923076,28.0,209
27137,Sri Lanka,India,Nagpur,142,30,7,9.466666666666667,53.0,215
12499,Sri Lanka,Pakistan,Lahore,98,51,9,8.521739130434783,32.0,165
7866,Pakistan,England,Cardiff,36,87,8,6.545454545454546,32.0,173
35102,India,England,Mumbai,109,34,5,7.604651162790698,31.0,177
22195,New Zealand,West Indies,Auckland,95,45,7,7.6,38.0,155
28215,India,South Africa,Durban,96,49,8,8.112676056338028,34.0,168
224,Australia,Sri Lanka,Adelaide,147,24,8,9.1875,47.0,187
45474,England,Pakistan,Manchester,53,83,10,8.594594594594595,47.0,135
6292,Bangladesh,India,Colombo,68,61,7,6.915254237288136,35.0,166
44980,Australia,India,Sydney,58,80,9,8.7,43.0,197
15605,West Indies,Bangladesh,Johannesburg,81,55,9,7.476923076923077,48.0,164
44150,Pakistan,Sri Lanka,Colombo,88,44,7,6.947368421052632,35.0,175
23095,Bangladesh,West Indies,St Kitts,100,15,2,5.714285714285714,25.0,118
8790,Pakistan,New Zealand,Abu Dhabi,92,36,7,6.571428571428571,35.0,148
16645,Pakistan,Sri Lanka,Johannesburg,166,10,5,9.054545454545455,48.0,189
25666,New Zealand,England,St Lucia,112,30,7,7.466666666666667,49.0,149
31141,West Indies,Bangladesh,Mirpur,35,87,9,6.363636363636363,33.0,132
48403,South Africa,West Indies,Nagpur,74,47,5,6.082191780821918,29.0,122
26155,Pakistan,Australia,St Lucia,105,41,8,7.974683544303797,34.0,191
38133,Sri Lanka,Pakistan,Dubai,44,80,8,6.6,34.0,145
15229,West Indies,England,London,114,49,8,9.633802816901408,40.0,208
7630,Bangladesh,West Indies,Lauderhill,48,74,7,6.260869565217392,29.0,171
19810,Australia,West Indies,London,38,79,7,5.560975609756097,32.0,169
36511,Sri Lanka,Australia,Melbourne,33,88,9,6.1875,28.0,161
9764,South Africa,England,Centurion,184,15,6,10.514285714285714,48.0,222
15352,West Indies,England,London,89,54,8,8.090909090909092,39.0,169
49757,Bangladesh,Sri Lanka,Mirpur,93,32,7,6.340909090909091,38.0,147
6354,Bangladesh,India,Colombo,164,1,2,8.268907563025211,54.0,166
8661,Pakistan,Australia,Dubai,93,44,10,7.342105263157895,27.0,150
26425,Bangladesh,New Zealand,Hamilton,72,20,1,4.32,18.0,78
14237,South Africa,New Zealand,Johannesburg,88,61,9,8.94915254237288,41.0,133
27512,England,Pakistan,Dubai,104,30,9,6.933333333333334,39.0,148
2850,Bangladesh,Sri Lanka,Colombo,139,12,5,7.722222222222222,44.0,155
40907,West Indies,Pakistan,Mirpur,81,37,5,5.855421686746988,22.0,166
11016,New Zealand,India,Auckland,64,70,9,7.68,41.0,132
26133,Pakistan,Australia,St Lucia,82,62,9,8.482758620689655,50.0,191
7059,South Africa,Sri Lanka,Centurion,138,23,7,8.536082474226804,43.0,180
28352,Pakistan,New Zealand,Auckland,90,37,3,6.506024096385542,22.0,143
48781,Australia,India,Chandigarh,103,39,6,7.62962962962963,29.0,160
46467,South Africa,Sri Lanka,Centurion,63,83,7,10.216216216216216,48.0,126
29720,Australia,India,Sydney,110,40,8,8.25,38.0,171
40047,Australia,West Indies,Mirpur,150,16,5,8.653846153846153,44.0,178
119,Australia,Sri Lanka,Melbourne,158,4,5,8.172413793103448,47.0,168
5476,Sri Lanka,India,Mumbai,133,1,3,6.705882352941177,37.0,135
39647,South Africa,New Zealand,Chittagong,83,42,7,6.384615384615385,33.0,170
4404,India,England,Cardiff,29,87,7,5.2727272727272725,29.0,148
45711,Sri Lanka,New Zealand,Auckland,32,89,9,6.193548387096774,32.0,142
36911,India,Pakistan,Bangalore,115,23,6,7.11340206185567,33.0,133
41262,India,Sri Lanka,Mirpur,72,50,8,6.171428571428572,38.0,130
41183,South Africa,India,Mirpur,152,9,6,8.216216216216216,38.0,172
2832,Bangladesh,Sri Lanka,Colombo,112,28,5,7.304347826086956,33.0,155
16564,Pakistan,Sri Lanka,Johannesburg,33,88,8,6.1875,28.0,189
9727,South Africa,England,Centurion,117,47,7,9.616438356164384,33.0,222
7507,Bangladesh,West Indies,St Kitts,66,70,6,7.92,46.0,143
1236,West Indies,India,Lauderhill,244,1,5,12.302521008403362,44.0,245
30968,England,Pakistan,Dubai,131,15,5,7.485714285714286,34.0,150
17890,India,Australia,Durban,161,11,6,8.862385321100918,64.0,188
15238,West Indies,England,London,130,40,7,9.75,46.0,208
1527,Pakistan,West Indies,Dubai,42,80,9,6.3,39.0,160
38932,New Zealand,Sri Lanka,Pallekele,102,23,5,6.309278350515464,36.0,142
16572,Pakistan,Sri Lanka,Johannesburg,35,80,7,5.25,24.0,189
14001,South Africa,England,Cape Town,84,47,7,6.904109589041096,28.0,191
30657,Sri Lanka,Pakistan,Abu Dhabi,64,83,8,10.378378378378379,46.0,141
17690,New Zealand,Pakistan,Cape Town,37,85,10,6.3428571428571425,35.0,143
41527,Pakistan,South Africa,Cape Town,126,31,8,8.49438202247191,65.0,176
2027,New Zealand,England,Wellington,54,80,9,8.1,41.0,196
11058,New Zealand,India,Auckland,96,28,6,6.260869565217392,22.0,132
4760,Sri Lanka,Pakistan,Abu Dhabi,34,89,10,6.580645161290323,34.0,124
18182,New Zealand,England,Manchester,48,72,7,6.0,34.0,123
32468,South Africa,Pakistan,Colombo,125,5,4,6.521739130434782,49.0,133
17612,India,South Africa,Durban,79,41,6,6.0,33.0,153
40126,Bangladesh,India,Mirpur,55,62,7,5.689655172413793,33.0,138
32641,New Zealand,England,Pallekele,43,76,7,5.863636363636363,33.0,148
21621,South Africa,India,Nottingham,120,5,6,6.260869565217392,27.0,130
39793,West Indies,Bangladesh,Mirpur,137,19,8,8.138613861386139,40.0,171
31813,Pakistan,New Zealand,Pallekele,123,37,8,8.891566265060241,37.0,177
35949,New Zealand,England,Wellington,90,41,7,6.8354430379746836,39.0,139
9613,England,South Africa,Durban,113,39,7,8.37037037037037,31.0,204
29967,South Africa,New Zealand,Wellington,76,35,6,5.364705882352941,24.0,147
9780,South Africa,England,Centurion,218,2,4,11.084745762711865,51.0,222
46424,West Indies,Sri Lanka,Colombo,158,3,4,8.102564102564102,33.0,162
38694,Sri Lanka,England,London,145,16,4,8.365384615384615,55.0,183
6559,South Africa,Pakistan,Cape Town,164,19,7,9.742574257425742,48.0,192
9433,Sri Lanka,Australia,Melbourne,131,8,5,7.017857142857143,38.0,142
5184,India,South Africa,Centurion,107,41,6,8.126582278481013,48.0,188
28854,Pakistan,South Africa,Abu Dhabi,91,31,3,6.134831460674158,14.0,119
15492,West Indies,South Africa,Johannesburg,145,40,10,10.875,57.0,205
12926,Bangladesh,Pakistan,Lahore,141,0,5,7.05,40.0,141
36353,Australia,Pakistan,Dubai,167,1,3,8.420168067226891,26.0,168
24082,India,South Africa,St Lucia,172,4,6,8.89655172413793,66.0,186
27650,Australia,England,Adelaide,137,16,6,7.903846153846154,40.0,157
36473,Australia,Sri Lanka,Sydney,134,2,7,6.813559322033898,34.0,137
15095,South Africa,India,Johannesburg,57,61,6,5.796610169491525,26.0,126
1154,West Indies,India,Lauderhill,91,79,10,13.317073170731707,69.0,245
10892,New Zealand,India,Auckland,80,73,9,10.212765957446809,50.0,203
2226,New Zealand,Australia,Auckland,219,13,7,12.280373831775702,62.0,243
33767,West Indies,Australia,Colombo,71,63,8,7.473684210526316,46.0,205
23061,Bangladesh,West Indies,St Kitts,73,46,3,5.918918918918919,23.0,118
46567,South Africa,Sri Lanka,Johannesburg,74,47,3,6.082191780821918,27.0,113
32755,West Indies,Sri Lanka,Pallekele,20,85,8,3.4285714285714284,18.0,129
12522,Sri Lanka,Pakistan,Lahore,133,28,8,8.673913043478262,45.0,165
38889,New Zealand,Sri Lanka,Pallekele,55,66,7,6.111111111111111,34.0,142
5142,India,South Africa,Centurion,47,82,7,7.421052631578948,47.0,188
10327,India,Bangladesh,Nagpur,49,78,8,7.0,46.0,174
14525,West Indies,New Zealand,Auckland,90,21,5,5.454545454545454,30.0,126
21487,Sri Lanka,New Zealand,Nottingham,132,18,7,7.764705882352941,44.0,158
33928,West Indies,Sri Lanka,Colombo,87,27,5,5.612903225806452,51.0,137
1072,India,England,Bangalore,124,37,7,8.963855421686747,55.0,202
29488,Sri Lanka,Australia,Pallekele,133,24,7,8.3125,51.0,198
35429,New Zealand,South Africa,Durban,29,80,6,4.35,20.0,86
12026,England,Australia,Southampton,77,52,7,6.794117647058823,41.0,145
21111,New Zealand,Pakistan,London,84,30,4,5.6,26.0,99
905,India,England,Nagpur,54,77,9,7.534883720930233,44.0,144
28366,Pakistan,New Zealand,Auckland,103,23,3,6.371134020618556,27.0,143
21947,Sri Lanka,Pakistan,London,69,45,5,5.52,29.0,138
49512,India,Bangladesh,Mirpur,78,46,7,6.324324324324325,38.0,166
23274,New Zealand,Sri Lanka,Colombo,44,80,8,6.6,31.0,141
44641,South Africa,Australia,Cape Town,101,48,8,8.416666666666666,29.0,178
47182,Afghanistan,Sri Lanka,Kolkata,54,50,6,4.628571428571429,13.0,153
19609,Australia,New Zealand,Sydney,94,36,7,6.714285714285714,32.0,150
41563,Pakistan,South Africa,Cape Town,176,0,6,8.8,42.0,176
41624,Sri Lanka,Bangladesh,Chittagong,88,59,6,8.655737704918034,32.0,168
2409,New Zealand,Australia,Auckland,65,81,8,10.0,48.0,150
25433,Australia,Sri Lanka,Barbados,126,17,5,7.339805825242719,49.0,168
48548,New Zealand,Bangladesh,Kolkata,106,23,6,6.556701030927835,39.0,145
8298,New Zealand,Sri Lanka,Auckland,96,35,5,6.776470588235294,41.0,179
38654,Sri Lanka,England,London,85,56,6,7.96875,42.0,183
18440,New Zealand,South Africa,Johannesburg,66,61,7,6.711864406779661,31.0,129
49718,Bangladesh,Sri Lanka,Mirpur,52,71,7,6.36734693877551,42.0,147
8778,Pakistan,New Zealand,Abu Dhabi,78,48,7,6.5,38.0,148
8389,Pakistan,Australia,Abu Dhabi,66,68,9,7.615384615384615,37.0,155
38945,New Zealand,Sri Lanka,Pallekele,125,10,5,6.818181818181818,40.0,142
45742,Sri Lanka,New Zealand,Auckland,65,58,6,6.290322580645161,32.0,142
20355,South Africa,New Zealand,London,77,36,6,5.5,24.0,128
17824,India,Australia,Durban,40,76,9,5.454545454545454,31.0,188
43117,South Africa,Australia,Sydney,44,87,10,8.0,43.0,145
9193,West Indies,India,Kolkata,105,2,2,5.338983050847458,42.0,109
46725,South Africa,Sri Lanka,Cape Town,145,10,5,7.909090909090909,38.0,169
12649,Sri Lanka,Pakistan,Lahore,142,23,6,8.783505154639176,42.0,182
15357,West Indies,England,London,94,50,8,8.057142857142857,42.0,169
18804,England,New Zealand,Christchurch,77,66,6,8.555555555555555,42.0,193
11165,India,New Zealand,Hamilton,105,43,7,8.181818181818182,24.0,179
17960,India,Pakistan,Johannesburg,59,64,8,6.321428571428571,22.0,157
49627,Pakistan,India,Mirpur,51,54,4,4.636363636363637,19.0,83
40361,Pakistan,Bangladesh,Mirpur,54,78,9,7.714285714285714,38.0,190
43767,New Zealand,South Africa,Durban,95,54,9,8.636363636363637,39.0,151
50298,Australia,Sri Lanka,Pallekele,83,75,9,11.066666666666666,55.0,263
16460,South Africa,England,Cape Town,56,68,7,6.461538461538462,25.0,154
2191,New Zealand,Australia,Auckland,154,45,9,12.32,73.0,243
25061,New Zealand,Pakistan,Barbados,106,16,4,6.115384615384615,29.0,133
19720,England,West Indies,Trinidad,87,49,6,7.352112676056338,32.0,121
13357,West Indies,New Zealand,Auckland,81,73,5,10.340425531914894,30.0,180
20192,Australia,Sri Lanka,Nottingham,59,76,8,8.045454545454545,43.0,159
580,South Africa,New Zealand,Auckland,127,37,7,9.180722891566266,46.0,185
49039,Sri Lanka,South Africa,Delhi,97,28,3,6.326086956521739,19.0,120
41474,Pakistan,South Africa,Cape Town,31,83,9,5.027027027027027,28.0,176
25523,Pakistan,South Africa,St Lucia,72,51,6,6.260869565217392,50.0,148
34300,West Indies,Australia,St Lucia,38,83,9,6.162162162162162,30.0,150
35323,Australia,England,Southampton,102,64,9,10.928571428571429,61.0,248
43369,England,South Africa,Johannesburg,48,82,9,7.578947368421052,43.0,171
45287,England,Pakistan,Dubai,136,23,6,8.412371134020619,56.0,172
25200,England,South Africa,Barbados,161,4,4,8.327586206896552,37.0,168
12913,Bangladesh,Pakistan,Lahore,123,12,6,6.833333333333333,37.0,141
7138,South Africa,Sri Lanka,Johannesburg,59,67,9,6.679245283018868,39.0,198
7426,Australia,India,Sydney,109,29,6,7.186813186813187,32.0,164
34049,West Indies,England,Nottingham,107,28,6,6.978260869565218,49.0,172
24298,South Africa,Afghanistan,Barbados,95,31,5,6.404494382022472,23.0,139
34927,India,Sri Lanka,Pallekele,52,81,9,8.0,45.0,155
18361,Australia,India,Mumbai,136,15,6,7.771428571428571,35.0,166
12601,Sri Lanka,Pakistan,Lahore,68,70,8,8.16,49.0,182
1543,Pakistan,West Indies,Dubai,62,66,8,6.888888888888889,36.0,160
14097,England,Australia,Southampton,58,78,8,8.285714285714286,47.0,179
16089,Bangladesh,South Africa,Cape Town,92,62,5,9.517241379310345,32.0,144
